time, a_pos.x, a_pos.y, a_pos.z, a_vel.x, a_vel.y, a_vel.z, a_acc.x, a_acc.y, a_acc.z, a_ang_vel.x, a_ang_vel.y, a_ang_vel.z, a_eul_ang.x, a_eul_ang.y, a_eul_ang.z, r_pos.x, r_pos.y, r_pos.z, r_vel.x, r_vel.y, r_vel.z, r_acc.x, r_acc.y, r_acc.z, r_eul_ang.x, r_eul_ang.y, r_eul_ang.z, r_torq.x, r_torq.y, r_torq.z, dist_f.x, dist_f.y, dist_f.z, r_thr, r_psi
1744895330.639908075, 8.15464563e-07, -1.96791317e-06, -0.860584689, 5.21092597e-05, -0.000127220696, -3.74854961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.641894817, 9.24949426e-07, -2.23549972e-06, -0.868082682, 5.74209964e-05, -0.000140486515, -3.74944298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.643908262, 9.24949426e-07, -2.23549972e-06, -0.868082682, 5.74209964e-05, -0.000140486515, -3.74944298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.645902395, 1.17760359e-06, -2.85504062e-06, -0.883082511, 6.91401694e-05, -0.000169905481, -3.75032266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.647902727, 1.32226423e-06, -3.21094265e-06, -0.890583155, 7.55702881e-05, -0.00018613207, -3.75032073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.649889469, 1.48017868e-06, -3.60035315e-06, -0.898083507, 8.2395383e-05, -0.000203418913, -3.75003196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.651887417, 1.65214751e-06, -4.02542913e-06, -0.905583001, 8.96260114e-05, -0.000221802508, -3.74946193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.653900623, 1.83899204e-06, -4.48840044e-06, -0.913081079, 9.72723843e-05, -0.000241319206, -3.74861612, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.655889034, 2.04155364e-06, -4.9915695e-06, -0.920577196, 0.000105344351, -0.000262005189, -3.74749992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.657890797, 2.26069303e-06, -5.53731085e-06, -0.928070814, 0.000113851383, -0.000283896436, -3.74611859, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
